date,stockcode,description,demand,price,revenue,num_invoices,num_customers,year,month,day,day_of_week,is_weekend,quarter,week,country,lost_sales,stock_level,is_promotion,discount_pct
2009-12-01,15036,ASSORTED COLOURS SILK FAN,55,0.65,35.75,2,2,2009,12,1,1,0,4,49,United Kingdom,0,0,0,0.0
2009-12-02,15036,ASSORTED COLOURS SILK FAN,15,1.3,19.5,2,0,2009,12,2,2,0,4,49,United Kingdom,0,0,0,0.0
2009-12-03,15036,ASSORTED COLOURS SILK FAN,243,0.89,119.1,2,1,2009,12,3,3,0,4,49,United Kingdom,0,0,0,0.0
2009-12-04,15036,ASSORTED COLOURS SILK FAN,12,0.65,7.800000000000001,1,1,2009,12,4,4,0,4,49,United Kingdom,0,0,0,0.0
2009-12-05,15036,ASSORTED COLOURS SILK FAN,12,0.65,7.800000000000001,1,1,2009,12,5,5,1,4,49,United Kingdom,0,0,0,0.0
2009-12-06,15036,ASSORTED COLOURS SILK FAN,0,0.65,0.0,0,0,2009,12,6,6,1,4,49,United Kingdom,0,0,0,0.0
2009-12-07,15036,ASSORTED COLOURS SILK FAN,55,0.9750000000000001,40.300000000000004,2,1,2009,12,7,0,0,4,50,United Kingdom,0,0,0,0.0
2009-12-08,15036,ASSORTED COLOURS SILK FAN,29,0.9750000000000001,22.1,2,1,2009,12,8,1,0,4,50,United Kingdom,0,0,0,0.0
2009-12-09,15036,ASSORTED COLOURS SILK FAN,3,1.3,3.9000000000000004,2,0,2009,12,9,2,0,4,50,United Kingdom,0,0,0,0.0
2009-12-10,15036,ASSORTED COLOURS SILK FAN,4,1.3,5.2,1,0,2009,12,10,3,0,4,50,United Kingdom,0,0,0,0.0
2009-12-11,15036,ASSORTED COLOURS SILK FAN,0,1.3,0.0,0,0,2009,12,11,4,0,4,50,United Kingdom,0,0,0,0.0
2009-12-12,15036,ASSORTED COLOURS SILK FAN,0,1.3,0.0,0,0,2009,12,12,5,1,4,50,United Kingdom,0,0,0,0.0
2009-12-13,15036,ASSORTED COLOURS SILK FAN,0,1.3,0.0,0,0,2009,12,13,6,1,4,50,United Kingdom,0,0,0,0.0
